Name,Description,Classifiers,Defining Organization Unit,Judging Assessment,Supporting Course Of Action,Supporting Directive,Parent,Sub-Desired Result,Amplified Vision,Quantifying Objective
Research,,,,,,,"Definition:""BMM Goal"":Innovation","Definition:""BMM Goal"":""Gather data""
Definition:""BMM Goal"":""Evaluate data""
Definition:""BMM Goal"":""Test in real world""
Definition:""BMM Goal"":""Data-Driven approaches""",,
Results Collaboration,,,,,,,"Definition:""BMM Goal"":""Effective Partnerships""",,,
Results Reviews,Including: individual reviews and Mayor's Quarterly reviews.,,,,,,"Definition:""BMM Goal"":""Align Planning Budgeting, Results""",,,
Reuse of Blighted Areas,Reinvestment and reuse of blighted areas.,,,,,,"Definition:""BMM Goal"":""Reduction of Neighborhood Blight""",,,
Routine & ER Care,Routine & ER Care for Physical/ Behavioral Conditions,,,,,,"Definition:""BMM Goal"":Health",,,
Safe Environment,,,,,,,"Definition:""BMM Goal"":""Children and Families""","Definition:""BMM Goal"":""Violence Prevention""
Definition:""BMM Goal"":""Environmental Health""
Definition:""BMM Goal"":""Community Engagement Across Generations""",,
Simplify City contracts process,,,,,,,"Definition:""BMM Goal"":""Provide Business Support Services""",,,
Simplify start-up requirements,,,,,,,"Definition:""BMM Goal"":""Spur Growth of New Businesses""",,,
Spur Growth of New Businesses,,,,,,,"Definition:""BMM Goal"":""Economic Development""","Definition:""BMM Goal"":""New bid participants for City services""
Definition:""BMM Goal"":""New business development""
Definition:""BMM Goal"":""Simplify start-up requirements""
Definition:""BMM Goal"":""Improve Zoning for new development""
Definition:""BMM Goal"":""Information for investment decisions""
Definition:""BMM Goal"":""Identify new business opportunities""",,
Stimulate cultural change,,,,,,,"Definition:""BMM Goal"":""Human Capital & Culture""",,,
Storm Protection System,Sustainable storm protection system.,,,,,,"Definition:""BMM Goal"":""Emergency Preparedness & Response""",,,
Strategic Deployment,,,,,,,"Definition:""BMM Goal"":Policing",,,
Strong Intergovernmental Relationships,,,,,,,"Definition:""BMM Goal"":""Effective Partnerships""",,,
Support and influence sustainable transportation systems,,,,,"Definition:""BMM Strategy"":""Support adequate regional roads""
Definition:""BMM Strategy"":""Collaborate with others to invluence solutions""
Definition:""BMM Strategy"":""Support improved and integrated active transportation""
Definition:""BMM Strategy"":""Collaborate for barrier-free transportation""
Definition:""BMM Strategy"":""Adapt integrated goods movement""",,,,,
Supports Capital Improvement Program,,,,,,,,,,
Sustainable Communities,"Support sustainable communities that integrate quality housing, transportation, schools, commercial development, energy efficiency, parks and green space, flood protection and cultural assets.

The Citizens of New Orleans desire to build a better quality of life for current and future generations by developing sustainable communities through improvements and further development to neighborhood infrastructure, pollution control, reduction of neighborhood blight, improved parks/ green space, better intra and inter-neighborhood access to services through improved transportability.

Addresses:

Higher percentage of properties in code compliance

Reduction in number of blighted properties

Neighborhood walkability/transportability metric",,,,,,,"Definition:""BMM Goal"":""Energy / Environmental Management""
Definition:""BMM Goal"":""Improved Quality of Life""
Definition:""BMM Goal"":""Reduction of Neighborhood Blight""
Definition:""BMM Goal"":""Infrastructure Improvements""
Definition:""BMM Goal"":""Improved Community Quality""","""A Model, Unified, Creative City""",
Technical Support,"Technical assistance and support
",,,,,,"Definition:""BMM Goal"":""Best Practices & Innovation""",,,
Technology,,,,,,,"Definition:""BMM Goal"":""Effective Criminal Justice System""",,,
Technology & Infrastructure,,,,,,,"Definition:""BMM Goal"":Innovation","Definition:""BMM Goal"":""Increase Overall Capacity""
Definition:""BMM Goal"":""Use Technology to Improve Service""
Definition:""BMM Goal"":""Use Technology to Reduce Cost""
Definition:""BMM Goal"":""Infrastructure for Improved Service""",,
Test in real world,Test research in real world scenarios,,,,,,"Definition:""BMM Goal"":Research",,,
Timely Prosecution,,,,,,,"Definition:""BMM Goal"":""Effective Criminal Justice System""",,,
Timely Responses,,,,,,,"Definition:""BMM Goal"":""Internal/External Customer Service""",,,
Tools & Techniques,"Including technology and lean process streamlining.
",,,,,,"Definition:""BMM Goal"":""Best Practices & Innovation""",,,
Traffic Safety,,,,,,,"Definition:""BMM Goal"":Prevention",,,
Training and target industry alignment,,,,,,,"Definition:""BMM Goal"":""Workforce Growth & Enhancement""",,,
Transparency,,,,,,,"Definition:""BMM Goal"":Integrity",,,
Use of Green Technologies,Use of Green technologies in the rebuilding process.,,,,,,"Definition:""BMM Goal"":""Energy / Environmental Management""",,,
Use of Green Technology,Use green technology in the rebuilding process,,,,,,,,,
Use Technology to Improve Service,,,,,,,"Definition:""BMM Goal"":""Technology & Infrastructure""",,,
Use Technology to Reduce Cost,,,,,,,"Definition:""BMM Goal"":""Technology & Infrastructure""",,,
Violence Prevention,,,,,,,"Definition:""BMM Goal"":""Safe Environment""",,,
Water & Sewer Systems,,,,,,,,,,
Water and Sewer Systems Improvements,,,,,,,"Definition:""BMM Goal"":""Infrastructure Improvements""",,,
Well Paying Jobs,,,,,,,"Definition:""BMM Goal"":Jobs",,,
Whitness Protection,,,,,,,"Definition:""BMM Goal"":""Effective Criminal Justice System""",,,
Workforce Growth & Enhancement,,,,,"Definition:""BMM Strategy"":""Use ex-offeders to cut overgrown lots""",,"Definition:""BMM Goal"":""Economic Development""","Definition:""BMM Goal"":""Training and target industry alignment""
Definition:""BMM Goal"":""Increas workforce skill levels""
Definition:""BMM Goal"":""Ehance complimentary skills""
Definition:""BMM Goal"":""Attract and retain talented people""
Definition:""BMM Goal"":""Develophigher-wage work skills""
Definition:""BMM Goal"":""Attract higher-wage industries""",,
Workforce Morale,,,,,,,"Definition:""BMM Goal"":""Internal/External Customer Service""",,,
Youth Programs,,,,,,,"Definition:""BMM Goal"":""Community Partnerships""",,,
